Tarih,Uretim Miktari
2001,650000
2002,850000
2003,800000
2004,900000
2005,975000
2006,111800
2007,854407
2008,992000
2009,105713
2010,132000
2011,133500
2012,137000
2013,137000
2014,163790
2015,168070
2016,167072
2017,196439
2018,194923
2019,210000
2020,206700
2021,241500
2022,255000
