Tarih,Uretim Miktari
2001,625000
2002,600000
2003,480000
2004,350000
2005,530000
2006,661000
2007,530000
2008,800791
2009,500000
2010,600000
2011,430000
2012,660000
2013,549000
2014,450000
2015,646000
2016,420000
2017,675000
2018,515000
2019,776046
2020,665000
2021,684000
2022,765000
