Tarih,Uretim Miktari
1988,1100000
1989,5000000
1990,1100000
1991,6400000
1992,7500000
1993,5500000
1994,1400000
1995,5150000
1996,1800000
1997,5100000
1998,1650000
1999,6000000
2000,1800000
2001,6000000
2002,1800000
2003,8500000
2004,1600000
2005,1200000
2006,1766749
2007,1075854
2008,1464248
2009,1290654
2010,1415000
2011,1750000
2012,1820000
2013,1676000
2014,1768000
2015,1700000
2016,1730000
2017,2100000
2018,1500467
2019,1525000
2020,1316626
2021,1738680
2022,2976000
